year			average		
1958			315.71		0.1571
1959			315.62		0.1562
1960			316.43		0.1643
1961			316.93		0.1693
1962			317.94		0.1794
1963			318.74		0.1874
1964			319.57		0.1957
1965			319.44		0.1944
1966			320.62		0.2062
1967			322.07		0.2207
1968			322.57		0.2257
1969			324		0.24
1970			325.03		0.2503
1971			326.17		0.2617
1972			326.77		0.2677
1973			328.54		0.2854
1974			329.35		0.2935
1975			330.73		0.3073
1976			331.59		0.3159
1977			332.66		0.3266
1978			334.95		0.3495
1979			336.14		0.3614
1980			337.9		0.379
1981			339.29		0.3929
1982			340.96		0.4096
1983			341.68		0.4168
1984			344.1		0.441
1985			345.21		0.4521
1986			346.56		0.4656
1987			348.52		0.4852
1988			350.39		0.5039
1989			352.91		0.5291
1990			353.8		0.538
1991			354.84		0.5484
1992			356.25		0.5625
1993			357		0.57
1994			358.24		0.5824
1995			359.92		0.5992
1996			362.07		0.6207
1997			363.09		0.6309
1998			365.26		0.6526
1999			368.18		0.6818
2000			369.29		0.6929
2001			370.59		0.7059
2002			372.53		0.7253
2003			374.88		0.7488
2004			377		0.77
2005			378.46		0.7846
2006			381.38		0.8138
2007			382.89		0.8289
2008			385.52		0.8552
2009			386.94		0.8694
2010			388.71		0.8871
2011			391.33		0.9133
2012			393.12		0.9312
2013			395.55		0.9555
2014			397.85		0.9785
2015			399.98		0.9998
2016			402.52		1.0252
